idx,sentiment,bleu,meteor,rouge1,rouge2,rougeL
0,neg,0.0015917941621496445,0.08333333333333334,0.0425531914893617,0.0,0.03191489361702128
1,neg,0.00247404012277847,0.05649717514124295,0.015873015873015872,0.0,0.015873015873015872
2,neg,0.0026903695637075687,0.08908685968819599,0.015503875968992248,0.0,0.015503875968992248
3,neg,0.002005330927721683,0.05830903790087464,0.03529411764705882,0.011904761904761904,0.03529411764705882
4,neg,0.002039011757236881,0.04761904761904762,0.02877697841726618,0.0,0.02877697841726618
5,neg,0.05287917835154752,0.3715187732551585,0.0,0.0,0.0
6,neg,0.0026439589175773753,0.046153846153846156,0.07228915662650601,0.0,0.060240963855421686
7,neg,0.1471251863049802,0.6260076335484669,0.02285714285714286,0.0,0.02285714285714286
8,neg,0.05184689965818618,0.364105504587156,0.0,0.0,0.0
9,neg,0.003559199852126828,0.08181046195652174,0.041666666666666664,0.0,0.03125
10,neg,0.0015931122529171788,0.07900677200902935,0.011049723756906077,0.0,0.011049723756906077
11,neg,0.0020377360500218643,0.054644808743169404,0.0,0.0,0.0
12,neg,0.002965924699400695,0.111044776119403,0.02072538860103627,0.0,0.02072538860103627
13,neg,0.02687755039349189,0.2691891891891892,0.0,0.0,0.0
14,neg,0.12711667236728771,0.572046313799622,0.08955223880597014,0.0,0.059701492537313425
15,neg,0.24023423037157773,0.756796488656372,0.014492753623188406,0.0,0.014492753623188406
16,neg,0.39554592316300896,0.8513178325136863,0.023255813953488372,0.0,0.023255813953488372
17,neg,0.0025453897553212286,0.04784688995215312,0.0,0.0,0.0
18,neg,0.19506822866482293,0.7134931723984079,0.029629629629629634,0.0,0.029629629629629634
19,neg,0.002118069797864318,0.01612903225806452,0.0,0.0,0.0
20,neg,0.0013563428608155427,0.07990867579908675,0.0,0.0,0.0
21,neg,0.002594445031287883,0.04322766570605187,0.0,0.0,0.0
22,neg,0.002200210588625318,0.05338078291814947,0.0,0.0,0.0
23,neg,0.002627262769368812,0.03246753246753247,0.0,0.0,0.0
24,neg,0.0016785435752335158,0.04672897196261683,0.0,0.0,0.0
25,neg,0.1426053734864245,0.6135090643402511,0.0099009900990099,0.0,0.0099009900990099
26,neg,0.07932045646636253,0.41821779850307617,0.011764705882352943,0.0,0.011764705882352943
27,neg,0.0026998165169635833,0.04608294930875576,0.0,0.0,0.0
28,neg,0.003127263705642319,0.07109004739336493,0.024096385542168676,0.0,0.024096385542168676
29,neg,0.0017003673408933085,0.09202453987730062,0.04784688995215311,0.0,0.04784688995215311
30,neg,0.0017030108550795695,0.057471264367816084,0.048484848484848485,0.0,0.024242424242424242
31,neg,0.0015872161504557703,0.07640067911714772,0.020202020202020204,0.0,0.020202020202020204
32,neg,0.001980127885259436,0.07658643326039388,0.011299435028248588,0.0,0.011299435028248588
33,neg,0.0025255007305853196,0.07609668755595345,0.11814345991561183,0.0,0.0759493670886076
34,neg,0.13694792949441112,0.5597547661039725,0.0,0.0,0.0
35,neg,0.0015297204052198445,0.08024691358024691,0.008888888888888889,0.0,0.008888888888888889
36,neg,0.005743892913762844,0.06069094304388422,0.0,0.0,0.0
37,neg,0.002000522541133277,0.04162330905306972,0.0,0.0,0.0
38,neg,0.0018036724992297386,0.09803921568627451,0.0,0.0,0.0
39,neg,0.0020812381044242657,0.08411214953271028,0.07734806629834254,0.0,0.055248618784530384
40,neg,0.0018258075909734972,0.06983240223463687,0.0,0.0,0.0
41,neg,0.001727214114709527,0.07961783439490447,0.022857142857142854,0.0,0.022857142857142854
42,neg,0.003616973629754703,0.08571428571428573,0.0,0.0,0.0
43,neg,0.0015550909644796434,0.03717472118959109,0.0,0.0,0.0
44,neg,0.0013563428608155427,0.04424778761061947,0.009852216748768473,0.0,0.009852216748768473
45,neg,0.004090250403100628,0.15023950408565792,0.023529411764705885,0.0,0.023529411764705885
46,neg,0.0019125154084660256,0.044117647058823525,0.0,0.0,0.0
47,neg,0.08252811666533288,0.48001126126126126,0.011363636363636362,0.0,0.011363636363636362
48,neg,0.0015931122529171788,0.043604651162790706,0.030303030303030307,0.0,0.030303030303030307
49,neg,0.08100571014214128,0.46064481268011537,0.031578947368421054,0.0,0.031578947368421054
50,neg,0.001828319491704269,0.06711409395973156,0.02072538860103627,0.0,0.02072538860103627
51,neg,0.002617787947591995,0.06550218340611354,0.01923076923076923,0.0,0.01923076923076923
52,neg,0.001551963869934804,0.06426735218508998,0.01818181818181818,0.0,0.01818181818181818
53,neg,0.10163197043636327,0.49546264786906496,0.0,0.0,0.0
54,neg,0.0019227845596883058,0.08215962441314555,0.03375527426160337,0.0,0.02531645569620253
55,neg,0.00234100636396569,0.06986027944111776,0.02962962962962963,0.0,0.02222222222222222
56,neg,0.013470460928019007,0.26289682539682546,0.0404040404040404,0.0,0.0404040404040404
57,neg,0.0027565496400696666,0.042492917847025496,0.0,0.0,0.0
58,neg,0.0025672405984320337,0.07102272727272728,0.0,0.0,0.0
59,neg,0.00195269789001013,0.07362784471218206,0.0,0.0,0.0
60,neg,0.0021831023314895447,0.05067567567567567,0.016,0.0,0.016
61,neg,0.002613437618874767,0.0574712643678161,0.017094017094017092,0.0,0.017094017094017092
62,neg,0.002321602766117395,0.03906250000000001,0.03773584905660377,0.0,0.02830188679245283
63,neg,0.0016956217078371101,0.07142857142857144,0.0,0.0,0.0
64,neg,0.0017318585380925317,0.051210428305400374,0.027522935779816515,0.0,0.027522935779816515
65,neg,0.0027066521833154045,0.058139534883720936,0.0,0.0,0.0
66,neg,0.0022441065945409903,0.045871559633027525,0.030303030303030304,0.0,0.030303030303030304
67,neg,0.0014645842820099069,0.045248868778280556,0.027522935779816515,0.0,0.01834862385321101
68,neg,0.009700551760908666,0.2336860670194004,0.06818181818181818,0.046511627906976744,0.06818181818181818
69,neg,0.00247404012277847,0.0510204081632653,0.0,0.0,0.0
70,neg,0.0014586124212932013,0.08565310492505356,0.024489795918367346,0.0,0.024489795918367346
71,neg,0.0017003673408933085,0.07136859781696053,0.025,0.0,0.025
72,neg,0.0024248072892803013,0.04385964912280702,0.0,0.0,0.0
73,neg,0.008551241910519479,0.16635279347143755,0.023952095808383235,0.0,0.023952095808383235
74,neg,0.0022568851151607756,0.05725190839694657,0.07441860465116279,0.0,0.07441860465116279
75,neg,0.0019023748517915913,0.05752636625119846,0.02197802197802198,0.0,0.02197802197802198
76,neg,0.0021767960706000414,0.046838407494145196,0.0,0.0,0.0
77,neg,0.04052739354487624,0.32894736842105265,0.017543859649122806,0.0,0.017543859649122806
78,neg,0.21963211484924286,0.7187895941850732,0.04464285714285714,0.0,0.04464285714285714
79,neg,0.0020555229285723186,0.04761904761904763,0.05298013245033113,0.0,0.039735099337748346
80,neg,0.0019271717706714543,0.029498525073746316,0.011560693641618498,0.0,0.011560693641618498
81,neg,0.0022826355484038443,0.04261363636363637,0.0,0.0,0.0
82,neg,0.0025200776709413297,0.057971014492753624,0.015503875968992248,0.0,0.015503875968992248
83,neg,0.002161519364946383,0.08960573476702509,0.0,0.0,0.0
84,neg,0.002191060724961435,0.05249343832020998,0.05291005291005291,0.0,0.05291005291005291
85,neg,0.002159076651669302,0.11874469889737066,0.029850746268656716,0.0,0.029850746268656716
86,neg,0.0020095656111560026,0.06284916201117319,0.0,0.0,0.0
87,neg,0.002040619807954152,0.08746355685131196,0.03389830508474577,0.0,0.03389830508474577
88,neg,0.0017242329055333528,0.07575757575757576,0.0,0.0,0.0
89,neg,0.001780046814587992,0.05338078291814947,0.040540540540540536,0.0,0.040540540540540536
90,neg,0.0019826679329743484,0.04398826979472141,0.0,0.0,0.0
91,neg,0.007494276366370973,0.05025125628140704,0.041666666666666664,0.0,0.041666666666666664
92,neg,0.0024507934283695444,0.06465517241379311,0.0,0.0,0.0
93,neg,0.001660330643967304,0.0574712643678161,0.017241379310344827,0.0,0.017241379310344827
94,neg,0.002490922648930904,0.08595988538681949,0.03278688524590164,0.0,0.03278688524590164
95,neg,0.00227272387707647,0.06172839506172841,0.04651162790697674,0.0,0.031007751937984496
